Date,Year,Cnt_Mth,Title,Incident_Area,Location,Open/Close_Location,Target,Cause,Summary,Fatalities,Injured,Total_victims,Age,Employeed_(Y/N),Employed_at,Mental_Health_Issues,Race,Gender,Latitude,Longitude
8/1/1966,1966,22,University of Texas at Austin,University,"Austin, Texas",Close,random,terrorism,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",17,32,48,25,0,,Yes,White,Male,30.1988873,-97.84415949
11/12/1966,1966,19,Rose-Mar College of Beauty,University,"Mesa, Arizona",Close,random,terrorism,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",5,1,6,18,0,,Yes,White,Male,33.42268696,-111.8163202
11/11/1971,1971,18,St. Aloysius Church,Church,"Spokane, Washington",Close,random,terrorism,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.",2,4,5,,0,,Yes,White,Male,47.67367375,-117.4159843
12/31/1972,1972,28,New Orleans Police Shootings,Police Department,"New Orleans, Louisiana",Unknown,random,psycho,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",10,13,22,23,0,,Yes,Black,Male,30.0687242,-89.93147412
1/17/1974,1974,27,Clara Barton Elementary School,School,"Chicago, Illinois",Close,Teachers,anger,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",1,3,4,14,0,,Yes,Other,Male,41.83928045,-87.68818145
12/30/1974,1974,27,Olean High School,School,"Olean, New York",Open+Close,random,terrorism,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",3,7,10,17,0,,No,White,Male,42.08185369,-78.43213922
2/19/1976,1976,50,Los Angeles Computer Learning Center,School,"Los Angeles, California",Close,Students,anger,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",1,7,8,18,0,,Unknown,White,Male,34.17622092,-118.5399542
7/12/1976,1976,15,Cal State Fullerton,University,"Fullerton, California",Close,random,terrorism,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others. ",7,2,9,37,1,California State University,Yes,White,Male,33.88404244,-117.92785
1/29/1979,1979,26,Grover Cleveland Elementary School,School,"San Diego, California",Open,Children,terrorism,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",2,9,11,16,0,,Yes,White,Female,32.86357277,-117.1281628
10/6/1979,1979,21,University of South Carolina,University,"Columbia, South Carolina",Close,Students,Unknown,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",2,5,7,19,0,,Unknown,Black,Male,34.05098834,-80.82077527
